"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2728","userCanTransferToAccountOfOtherUserTest()","","Mon Jan 12 19:09:08 UTC 2026","passed","Mon Jan 12 19:09:11 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToAccountOfOtherUserTest"
"","7047","userCanCreateAccountTest()","","Mon Jan 12 19:09:11 UTC 2026","passed","Mon Jan 12 19:09:18 UTC 2026","","nBankTests.ui.iteration_1.CreateAccountTest","nBankTests.ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","8939","userCanDepositAndBalanceChangesCorrectlyTest()","","Mon Jan 12 19:09:15 UTC 2026","passed","Mon Jan 12 19:09:24 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanDepositAndBalanceChangesCorrectlyTest"
"","6495","userCanNotDepositWithEmptyAccount()","","Mon Jan 12 19:09:01 UTC 2026","passed","Mon Jan 12 19:09:08 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanNotDepositWithEmptyAccount"
"","2339","adminCanGenerateAuthTokenTest()","","Mon Jan 12 19:08:49 UTC 2026","passed","Mon Jan 12 19:08:51 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","adminCanGenerateAuthTokenTest"
"","285","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [4] createUserRequest=CreateUserRequest(username=abc%, password=Password33$, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 19:08:52 UTC 2026","passed","Mon Jan 12 19:08:52 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","2320","userCanNotTransferWithExpiredAuthToken()","","Mon Jan 12 19:09:12 UTC 2026","passed","Mon Jan 12 19:09:14 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithExpiredAuthToken"
"","956","userCanUpdateName()","","Mon Jan 12 19:08:57 UTC 2026","passed","Mon Jan 12 19:08:58 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanUpdateName"
"","2155","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 19:09:14 UTC 2026","passed","Mon Jan 12 19:09:16 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferOnNonExistentAccount"
"","6786","userCanCreateAccountTest()","","Mon Jan 12 19:08:49 UTC 2026","passed","Mon Jan 12 19:08:56 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateAccountTest","nBankTests.api.iteration1_senior_level.CreateAccountTest","userCanCreateAccountTest"
"","1210","userCannotDepositWithInvalidFields(Integer, Double) [3] id=null, balance=null","","Mon Jan 12 19:09:07 UTC 2026","passed","Mon Jan 12 19:09:08 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","3105","userCanTransferToOwnAccountTest(Double) [4] amount=9999.99","","Mon Jan 12 19:08:57 UTC 2026","passed","Mon Jan 12 19:09:00 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","1811","userCanNotTransferWithIncorrectAmountTest(Double, String) [2] amount=10000.1, errorMessage=Transfer amount cannot exceed 10000","","Mon Jan 12 19:09:06 UTC 2026","passed","Mon Jan 12 19:09:08 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithIncorrectAmountTest"
"","3055","adminCannotCreateUserWithInvalidDataTest()","","Mon Jan 12 19:09:18 UTC 2026","passed","Mon Jan 12 19:09:21 UTC 2026","","nBankTests.ui.iteration_1.CreateUserTest","nBankTests.ui.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6498","userCanNotTransferWhenTransferAmountExceedsAccountBalance()","","Mon Jan 12 19:09:38 UTC 2026","passed","Mon Jan 12 19:09:44 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanNotTransferWhenTransferAmountExceedsAccountBalance"
"","4739","userCanTransferToOwnAccountTest(Double) [3] amount=5000.0","","Mon Jan 12 19:08:52 UTC 2026","passed","Mon Jan 12 19:08:57 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","2254","userCanTransferToOwnAccountTest(Double) [2] amount=0.02","","Mon Jan 12 19:09:06 UTC 2026","passed","Mon Jan 12 19:09:08 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","243","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [1] createUserRequest=CreateUserRequest(username=   , password=Password33$, role=USER), errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 19:08:53 UTC 2026","passed","Mon Jan 12 19:08:53 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1090","userCanNotUpdateName(String, String) [1] newName=Mark1999 dfd dfd, errorMassage=Name must contain two words with letters only","","Mon Jan 12 19:09:02 UTC 2026","passed","Mon Jan 12 19:09:03 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","11145","UserCanNotChangeNameWithInvalidNewNameTest()","","Mon Jan 12 19:09:19 UTC 2026","passed","Mon Jan 12 19:09:30 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanNotChangeNameWithInvalidNewNameTest"
"","1881","userCannotTransferWithoutToken()","","Mon Jan 12 19:09:10 UTC 2026","passed","Mon Jan 12 19:09:12 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCannotTransferWithoutToken"
"","850","userCanNotUpdateName(String, String) [3] newName=Mark_Samsonov, errorMassage=Name must contain two words with letters only","","Mon Jan 12 19:09:00 UTC 2026","passed","Mon Jan 12 19:09:01 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","12180","userCanNotDepositWithInvalidAmount()","","Mon Jan 12 19:08:49 UTC 2026","passed","Mon Jan 12 19:09:01 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanNotDepositWithInvalidAmount"
"","2041","userCanNotTransferWithIncorrectAmountTest(Double, String) [3] amount=-5001.0, errorMessage=Transfer amount must be at least 0.01","","Mon Jan 12 19:09:08 UTC 2026","passed","Mon Jan 12 19:09:10 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithIncorrectAmountTest"
"","2662","userCanTransferToOwnAccountTest(Double) [1] amount=0.01","","Mon Jan 12 19:09:03 UTC 2026","passed","Mon Jan 12 19:09:06 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","1003","userCanNotUpdateName(String, String) [2] newName=Mark1999 Samsonov, errorMassage=Name must contain two words with letters only","","Mon Jan 12 19:09:01 UTC 2026","passed","Mon Jan 12 19:09:02 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","2530","userCannotTransferWithNullFields(Integer, Integer, Double) [3] senderAccountId=474536422, receiverAccountId=474536422, amount=null","","Mon Jan 12 19:08:59 UTC 2026","passed","Mon Jan 12 19:09:02 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCannotTransferWithNullFields"
"","7242","userCanNotDepositWithEmptyAmount()","","Mon Jan 12 19:09:08 UTC 2026","passed","Mon Jan 12 19:09:15 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanNotDepositWithEmptyAmount"
"","2211","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [3] createUserRequest=CreateUserRequest(username=abc$, password=Password33$, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 19:08:50 UTC 2026","passed","Mon Jan 12 19:08:52 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","2437","userCannotTransferWithNullFields(Integer, Integer, Double) [2] senderAccountId=474536422, receiverAccountId=null, amount=2924.92","","Mon Jan 12 19:08:57 UTC 2026","passed","Mon Jan 12 19:08:59 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCannotTransferWithNullFields"
"","297","adminCanCreateUserWithCorrectData()","","Mon Jan 12 19:08:53 UTC 2026","passed","Mon Jan 12 19:08:53 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanCreateUserWithCorrectData"
"","12589","userCanDepositAndBalanceChangesCorrectlyTest()","","Mon Jan 12 19:09:19 UTC 2026","passed","Mon Jan 12 19:09:32 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanDepositAndBalanceChangesCorrectlyTest"
"","1752","userCannotDepositWithoutToken()","","Mon Jan 12 19:09:15 UTC 2026","passed","Mon Jan 12 19:09:17 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithoutToken"
"","1429","userCanNotDepositWithInvalidAmount(Double, String) [2] amount=0.0, errorValue=Deposit amount must be at least 0.01","","Mon Jan 12 19:09:10 UTC 2026","passed","Mon Jan 12 19:09:11 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithInvalidAmount"
"","1403","userCannotUpdateNameWithInvalidToken()","","Mon Jan 12 19:08:56 UTC 2026","passed","Mon Jan 12 19:08:57 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCannotUpdateNameWithInvalidToken"
"","511","userCanGenerateAuthTokenTest()","","Mon Jan 12 19:08:51 UTC 2026","passed","Mon Jan 12 19:08:52 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","userCanGenerateAuthTokenTest"
"","5713","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 19:09:32 UTC 2026","passed","Mon Jan 12 19:09:38 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanNotTransferOnNonExistentAccount"
"","2004","userCanNotDepositWithExpiredAuthToken()","","Mon Jan 12 19:09:13 UTC 2026","passed","Mon Jan 12 19:09:15 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithExpiredAuthToken"
"","2954","userCanNotTransferFromNonExistentAccount()","","Mon Jan 12 19:09:16 UTC 2026","passed","Mon Jan 12 19:09:19 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferFromNonExistentAccount"
"","1451","userCanNotDepositWithInvalidAmount(Double, String) [1] amount=-1.0, errorValue=Deposit amount must be at least 0.01","","Mon Jan 12 19:09:08 UTC 2026","passed","Mon Jan 12 19:09:10 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithInvalidAmount"
"","1211","userCannotDepositWithInvalidFields(Integer, Double) [2] id=977593753, balance=null","","Mon Jan 12 19:09:06 UTC 2026","passed","Mon Jan 12 19:09:07 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","1868","userCanNotDepositToNotOwnedAccount()","","Mon Jan 12 19:09:03 UTC 2026","passed","Mon Jan 12 19:09:05 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositToNotOwnedAccount"
"","4565","adminCanLoginWithCorrectDataTest()","","Mon Jan 12 19:09:11 UTC 2026","passed","Mon Jan 12 19:09:15 UTC 2026","","nBankTests.ui.iteration_1.LoginUserTest","nBankTests.ui.iteration_1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","274","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [2] createUserRequest=CreateUserRequest(username=ab, password=Password33$, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Mon Jan 12 19:08:52 UTC 2026","passed","Mon Jan 12 19:08:53 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","3088","userCanTransferToOwnAccountTest(Double) [5] amount=10000.0","","Mon Jan 12 19:09:00 UTC 2026","passed","Mon Jan 12 19:09:03 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","3293","userCannotTransferWithNullFields(Integer, Integer, Double) [1] senderAccountId=null, receiverAccountId=474536422, amount=1034.33","","Mon Jan 12 19:08:53 UTC 2026","passed","Mon Jan 12 19:08:57 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCannotTransferWithNullFields"
"","4154","adminCanCreateUserTest()","","Mon Jan 12 19:09:21 UTC 2026","passed","Mon Jan 12 19:09:25 UTC 2026","","nBankTests.ui.iteration_1.CreateUserTest","nBankTests.ui.iteration_1.CreateUserTest","adminCanCreateUserTest"
