"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1454","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [3] createUserRequest=CreateUserRequest(username=abc$, password=Password33$, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 19:17:30 UTC 2026","passed","Mon Jan 12 19:17:32 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","2537","userCannotTransferWithNullFields(Integer, Integer, Double) [2] senderAccountId=783827841, receiverAccountId=null, amount=1680.55","","Mon Jan 12 19:17:36 UTC 2026","passed","Mon Jan 12 19:17:38 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCannotTransferWithNullFields"
"","1448","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 19:17:53 UTC 2026","passed","Mon Jan 12 19:17:55 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferOnNonExistentAccount"
"","898","userCanNotUpdateName(String, String) [4] newName='   ', errorMassage=Name must contain two words with letters only","","Mon Jan 12 19:17:37 UTC 2026","passed","Mon Jan 12 19:17:38 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","11953","userCanNotDepositWithInvalidAmount()","","Mon Jan 12 19:17:28 UTC 2026","passed","Mon Jan 12 19:17:40 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanNotDepositWithInvalidAmount"
"","8510","UserCanChangeNameTest()","","Mon Jan 12 19:18:00 UTC 2026","passed","Mon Jan 12 19:18:09 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanChangeNameTest"
"","6565","userCanNotTransferWhenTransferAmountExceedsAccountBalance()","","Mon Jan 12 19:18:18 UTC 2026","passed","Mon Jan 12 19:18:24 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanNotTransferWhenTransferAmountExceedsAccountBalance"
"","2068","userCanNotTransferWithIncorrectAmountTest(Double, String) [3] amount=-5001.0, errorMessage=Transfer amount must be at least 0.01","","Mon Jan 12 19:17:47 UTC 2026","passed","Mon Jan 12 19:17:49 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithIncorrectAmountTest"
"","1611","userCanGenerateAuthTokenTest()","","Mon Jan 12 19:17:28 UTC 2026","passed","Mon Jan 12 19:17:30 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","userCanGenerateAuthTokenTest"
"","964","userCanNotUpdateName(String, String) [2] newName=Mark1999 Samsonov, errorMassage=Name must contain two words with letters only","","Mon Jan 12 19:17:40 UTC 2026","passed","Mon Jan 12 19:17:41 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","1370","userCannotDepositWithoutToken()","","Mon Jan 12 19:17:54 UTC 2026","passed","Mon Jan 12 19:17:55 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithoutToken"
