"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2138","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 20:40:51 UTC 2026","passed","Mon Jan 12 20:40:53 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferOnNonExistentAccount"
"","6984","userCanCreateAccountTest()","","Mon Jan 12 20:40:47 UTC 2026","passed","Mon Jan 12 20:40:54 UTC 2026","","nBankTests.ui.iteration_1.CreateAccountTest","nBankTests.ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","2671","userCanTransferToAccountOfOtherUserTest()","","Mon Jan 12 20:40:45 UTC 2026","passed","Mon Jan 12 20:40:47 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToAccountOfOtherUserTest"
"","2206","userCanNotTransferWhenTransferAmountExceedsAccountBalance()","","Mon Jan 12 20:40:38 UTC 2026","passed","Mon Jan 12 20:40:40 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWhenTransferAmountExceedsAccountBalance"
"","493","userCanGenerateAuthTokenTest()","","Mon Jan 12 20:40:28 UTC 2026","passed","Mon Jan 12 20:40:28 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","userCanGenerateAuthTokenTest"
"","6778","userCanCreateAccountTest()","","Mon Jan 12 20:40:26 UTC 2026","passed","Mon Jan 12 20:40:32 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateAccountTest","nBankTests.api.iteration1_senior_level.CreateAccountTest","userCanCreateAccountTest"
"","4273","userCanTransferToOwnAccountTest(Double) [3] amount=5000.0","","Mon Jan 12 20:40:29 UTC 2026","passed","Mon Jan 12 20:40:33 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","10850","UserCanChangeNameTest()","","Mon Jan 12 20:40:57 UTC 2026","passed","Mon Jan 12 20:41:08 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanChangeNameTest"
"","398","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [4] createUserRequest=CreateUserRequest(username=abc%, password=Password33$, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 20:40:29 UTC 2026","passed","Mon Jan 12 20:40:29 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","2909","userCanTransferToOwnAccountTest(Double) [5] amount=10000.0","","Mon Jan 12 20:40:37 UTC 2026","passed","Mon Jan 12 20:40:39 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","2457","userCanTransferToOwnAccountTest(Double) [2] amount=0.02","","Mon Jan 12 20:40:42 UTC 2026","passed","Mon Jan 12 20:40:45 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","953","userCanNotUpdateName(String, String) [1] newName=Mark1999 dfd dfd, errorMassage=Name must contain two words with letters only","","Mon Jan 12 20:40:39 UTC 2026","passed","Mon Jan 12 20:40:40 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","3164","userCanLoginWithCorrectDataTest()","","Mon Jan 12 20:40:52 UTC 2026","passed","Mon Jan 12 20:40:55 UTC 2026","","nBankTests.ui.iteration_1.LoginUserTest","nBankTests.ui.iteration_1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1256","userCannotDepositWithInvalidFields(Integer, Double) [2] id=783821205, balance=null","","Mon Jan 12 20:40:43 UTC 2026","passed","Mon Jan 12 20:40:44 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","1274","userCannotDepositWithInvalidFields(Integer, Double) [1] id=null, balance=3084.87","","Mon Jan 12 20:40:42 UTC 2026","passed","Mon Jan 12 20:40:43 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","2563","userCanNotTransferFromNonExistentAccount()","","Mon Jan 12 20:40:53 UTC 2026","passed","Mon Jan 12 20:40:55 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferFromNonExistentAccount"
"","2638","userCanDepositAndBalanceChangesCorrectlyTest()","","Mon Jan 12 20:40:54 UTC 2026","passed","Mon Jan 12 20:40:57 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanDepositAndBalanceChangesCorrectlyTest"
"","1042","userCanNotUpdateName(String, String) [4] newName='   ', errorMassage=Name must contain two words with letters only","","Mon Jan 12 20:40:35 UTC 2026","passed","Mon Jan 12 20:40:36 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","1323","userCanNotDepositWithInvalidAmount(Double, String) [1] amount=-1.0, errorValue=Deposit amount must be at least 0.01","","Mon Jan 12 20:40:46 UTC 2026","passed","Mon Jan 12 20:40:47 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithInvalidAmount"
"","1546","userCannotDepositWithoutToken()","","Mon Jan 12 20:40:53 UTC 2026","passed","Mon Jan 12 20:40:54 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithoutToken"
"","5830","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 20:41:09 UTC 2026","passed","Mon Jan 12 20:41:14 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanNotTransferOnNonExistentAccount"
"","3389","userCanTransferToOwnAccountTest(Double) [4] amount=9999.99","","Mon Jan 12 20:40:33 UTC 2026","passed","Mon Jan 12 20:40:37 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","259","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [2] createUserRequest=CreateUserRequest(username=ab, password=Password33$, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Mon Jan 12 20:40:29 UTC 2026","passed","Mon Jan 12 20:40:30 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","290","adminCanCreateUserWithCorrectData()","","Mon Jan 12 20:40:30 UTC 2026","passed","Mon Jan 12 20:40:30 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanCreateUserWithCorrectData"
"","2051","userCanNotDepositWithInvalidAmount(Double, String) [3] amount=5001.0, errorValue=Deposit amount cannot exceed 5000","","Mon Jan 12 20:40:49 UTC 2026","passed","Mon Jan 12 20:40:51 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithInvalidAmount"
"","2309","adminCanGenerateAuthTokenTest()","","Mon Jan 12 20:40:26 UTC 2026","passed","Mon Jan 12 20:40:28 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","adminCanGenerateAuthTokenTest"
"","961","userCanNotUpdateName(String, String) [5] newName=Mark Junior Samsonov, errorMassage=Name must contain two words with letters only","","Mon Jan 12 20:40:36 UTC 2026","passed","Mon Jan 12 20:40:37 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
